0,1,2,PERSON_INJURY
-137.9713407906282,58.0715821728086,-0.8012389230602958,Killed
-138.91582262963792,73.87066813661686,-23.942859660028187,Killed
-139.9184179468688,72.87885538692258,-22.935011284880687,Killed
-140.9879497940025,24.061366559970455,-0.4834702148099504,Killed
-140.98855772836663,22.054278436888165,-0.47279646140074477,Killed
-140.93791008972644,45.89280700561897,-19.67421126023163,Killed
-140.92871157664757,51.88067075668331,-22.75320598953344,Killed
-141.97878033109026,25.016256527483275,-4.495586674597265,Killed
-141.9765929730611,30.024548914219288,-4.534406386682725,Killed
-141.97727077113112,28.016219769159672,-4.5214135728263205,Killed
-142.92847901980997,81.9390787400889,-16.018652398027356,Killed
-143.9771801727536,46.07484017148471,-0.708990703193349,Killed
-143.9771801727536,46.07484017148471,-0.708990703193349,Killed
-143.95911451625167,58.00561059027442,-6.790079835222459,Killed
-144.97688661811438,25.018886617186734,-5.499101040967716,Killed
-144.92027711911302,68.8811623343055,-22.9117166520664,Killed
-145.98308110154036,34.073549665861236,-0.6056773149363165,Killed
-147.95353600764977,38.966144950120075,-13.65831011731703,Killed
-147.931785442216,53.899916140077636,-20.784622757112487,Killed
-147.94008577440223,37.88830307141113,-20.6285706477315,Killed
-149.9730627233245,37.53004937842175,-4.645482177044293,Killed
-149.9418782015175,37.89721877317125,-19.623352229741872,Killed
-150.9199308359235,69.88009600561129,-22.926648099544593,Killed
-151.9675520941859,40.01005125725388,-6.641384443806489,Killed
-151.96158879568137,44.0083167109274,-8.707432057706786,Killed
-154.9304899708534,64.92342074135746,-18.89891941244633,Killed
-154.9488034342996,15.883854475176559,-21.449893988890132,Killed
-160.96971739842684,36.01640117506765,-6.630513936578225,Killed
-160.97000051630383,26.999539217866975,-8.551627162277015,Killed
-160.94280383891828,17.858379254575265,-23.472174168598247,Killed
-161.94782242753405,55.96359421609499,-12.815773775282553,Killed
-162.96546082708778,57.05666221294268,-3.842883492474934,Killed
-162.93851874097226,56.92629820587833,-16.81127446444806,Killed
-163.9674001215135,53.04168049881283,-3.7803880136174617,Killed
-163.97031080267737,47.04230379252111,-3.7280057869856127,Killed
-165.96798790536695,52.05868252831323,-3.8073155145241735,Killed
-166.9822763184708,31.062376728658396,-1.5951728843790391,Killed
-167.9385020215713,91.01454269348667,-9.150839318740836,Killed
-168.9662725760613,24.975406919748053,-10.550986845771794,Killed
-168.9611752752213,35.984258294692026,-10.641857707225238,Killed
-168.94060351011075,48.92276565685326,-17.758759088749482,Killed
-168.93412996621853,37.35879700432664,-23.666086721545717,Killed
-169.94858828405734,24.908087275640007,-19.558402979516714,Killed
